clothing_warm,Warm Clothing Allowance
clothing_climate,Climate Clothing Allowance
children,Children Allowance
training,Training Allowance
transport,Transport Allowance
night,Night Allowance
safari,Safari day Allowance
transit,Transit allowance
lunch,Lunch Allowance
dinner,Dinner Allowance
sitting,Sitting Allowance
honoraria,Honoraria
out_of_pocket,Out of pocket Allowance
kilometrage,Kilometrage Allowance
disturbance,Disturbance Allowance
settling_in,Settling-in Allowance
acting,Acting Allowance
duty,Duty Allowance
overtime,Overtime Allowance
education,Education Allowance
holiday,Holiday Travel Concession
baggage,Baggage Allowance on Posting and Recall
